sentiment,labels
hya saran kandidat bertarung capres dll berjiwa nasionalis mghargai dmokrasi fairlah tuk mencalonkan pilpres threshold dikembalikan oligarki,neutral
mantap capres idolaku,positive
media bermain cantik lapangan bermain buruk jurus menghindar,negative
wacana penundaan pemilu dianggap main main rakyat gerah isu penundaan pemilu,neutral
presiden pks,negative
kepala divisi humas polri irjen pol dedi prasetyo memprediksi penyebaran hoax gerakan hitam meningkat,neutral
deja vu eks presiden partai biru,neutral
yaaaa org pintar jateng sayangnya mrk tdk berbuat terkendala sistem mas digadang capres dlm kondisi neg hutang patut diragukan,negative
calonnya cuman prabowo vs anies mending milih prabowo beliau bener selektif milih menteri bawahannya,neutral
klu tdk suka nggak dipilih ngapain jg melarang orang jd capres pasang foto sj nggak berani melarang orang,neutral
baiknya ya cawapres sj buya adik kudu ngalah kang mas klo pasangan capres cawapres kakak adik catatan sejarah demokrasi indonesia dukung,neutral
sih setuju sjkarena blm yg beliau mendukung beristirahat beliau sdh lelah utk memikirkan negara sdh nya momong cucu jan ethes seneng banget lho walikotagubernurpresiden,neutral
ratusan milenial mahasiswa tergabung ganjar milenial wilayah jabodetabek mendeklarasikan dukungan presiden dukungan dibarengi aksi konvoi bajaj kawasan kota tua jakarta,positive
masyaallah tugas tinggal membenahi negara carut marut bismillah anies baswedan next president of ri,positive
semoga anies menang pilpres membawa keadilan amp persatuan masyarakat indonesia salam waras,positive
dapet amplop langsung bu mega berisi tiket caprescawapres barengan mampus tuh buzzer kadrun hahahaha,negative
presiden ingatkan relawan buru buru tentukan dukungan pilpres,neutral
yth bp bp prabowo masuk dlm kabinet presiden jokowi periode terdengar kader yg menyerang pemerintah amp pro kelompok intoleran densus dibubarkan kelompok khilafah demo salam hormat rakyat merah putih,negative
berharap pelaksanaan pemilu februari bertepatan kasih sayang menyajikan pemilu sejuk perpecahan anak bangsa,positive
emang kritikan dengar emang sih sosok mencermati tindak tanduknya capres trus kritik habisn kl salah,neutral
bro ambil sampah pendukung capres emang suka ngada pokoknya anies binasa hebatnya,negative
selamat lahir pkb berdoa ikhtiar semoga pkb kemenangan pd pileg amp pilpres bergotong royong memenangkan gus muhaimin presiden,positive
aniesbaswedan nnti presidennya ya mstii membawa negeri maju menjauh kkn,positive
memimpin indonesia jabatan presiden,positive
enak biangeett emang jd anak penurut kayak baginda capres point nya manut jd gampang manfaatkan dll dasar nya jd anak bebas bebal pemberontak ya gini deh jd nya,negative
pandemik covid reda semoga pandemik musibah yg melanda global regional pilpres capres nasdem anies baswedan ganjar pranowo yg terpilih presiden,positive
hadir hadir kegiatan agama doank gk cocok presiden,negative
presiden kadal gurun,negative
berharap pemerintah pimpin jokowi jatuh pilpres tinggal sebentar jago mu menang pemilu,neutral
mantap calon presiden yg melestarikan budaya wayang wayang menyebarkan kebaikan kpd agama pademic maju ganjar calon presiden ri rakyat indonesia amp maju budaya ku,positive
seandainya yg gugur putra kandng bpak menhan yg doyan jualan radikal radikul mulu sbgai wapres ng kong bgm sbgai presiden,negative
barangkali salah rakyat memilih langsung pilpres dkk semoga hak rakyat nkri,positive
erick thohir menguat cawapres kesuksesan kinerja menteri bumn memuaskan masyarakat menteri andalan presiden jokowi dukungan maju cawapres pilpres,positive
menjelang pemilu radikal radikul teruuuussss adu prestasi adu gagasan brooowww,neutral
pilpres pileg digelar serentak tjahjo,neutral
bismillah kemarin partai gelora menghadiri daring sidang judicial review uu no pemilihan mahkamah konstitusi mengusulkan pileg amp pilpres dilaksanakan terpisah pelaksanaan demokrasi berkualitas,positive
bukti anies baswedan diperhitungkan pilpres semangat anies semoga presiden,positive
partai politik relevan klw bilang pemilu ditunda silahkan tunda pilpres mengganggu konstitusionaljangan haus kekuasaan karna melanggarnya,neutral
mmgnya relawan anggota pdip jd mesti ijin nalarnya pendek yaa ntr plg kampung mo bikin ganjar presidenku,negative
terimakasih anis semoga sehat nex presiden ri,positive
partai demokrat dpc jatim menyukseskan kontestasi pemilu pilpres,neutral
pilpres semoga menghasilkan nakhoda bijak didampingi menteri menteri kompeten terwujud zaken kabinet kabinet diiisi profesional kompeten berintegritas mengabdi rakyat,positive
biar mikir biar sungguh ngurus jawa pa kalo orang gankar ngotot presiden negara termidkin sedunia,negative
isu ambang batas presiden hangat detik kali ngobrol tema bareng dg tmn pcim sudan,neutral
alhamdulillahselamat anies melanggeng pilpres semoga allah melancarkan mensukseskan anies presiden ri periode aamiin,positive
tokoh tokoh semoga merapat beliau beliau sedini menyusun strategi memenangkan pilpres,positive
dlm sejarah pilpres republik ribuan orang relawan korbankan tenaga amp pikiran korbankan uang nilai perjuangannya sia krn calon yg didukung berserikat lawan politiknya,neutral
bener gw pretttasinya merusak jakarta trus usung bbrp partai capres tujuannya coba ngedukung yg model ginimau ngerusak indonesia wajib tenggelamkan tuh partai,negative
semoga pilpres besok pilgub jakarta penuh isu sara,positive
bacapres partai kibal kibul,negative
presiden perempuan partai kaes berat mbak ntah partainya mbak ane yg milih aja berat,neutral
capres calon presiden kerja nya nol gede calon dinilai kerja nya kerja pejabat yg terbukti tepati janji yg nol prestasi presiden yg membawa kesengsaraan rakyat indonesia menilai berdasar fakta,negative
pemilu putaran cebong kampret,negative
prabowo optimistis indonesia memiliki masyarakatnya rukun bersatu,positive
trs tuk jadwal yg sdh drilis kapeu trs uud jg dlnggar pilpres hrs ttp,neutral
pilpres muncul keturunan tokoh pahlawan muncul keturunan pangeran diponegoro muncul keturunan raja maja pahit,neutral
semoga pilpres anies ahy memperoleh suara diatas jujur adil transparan inshaallah,positive
alasan situasi memaksa ditunda dilaksanakan pandemi covid kondisi puncak anak amp menantu jokowi pindahkan ibukota ri kalimantan dana anggaran dipaksakan,neutral
insya allah rakyat indonesia mendukung memilih beliau prabowo subianto presiden republik indonesia periode pilpres thn yg amin ya rabbal alamin,positive
tanda jaman tanda pilpres,neutral
ya udah presiden jateng yg,negative
ngga tumpengan nyembeleh kebo pas jokowi udah ngga presiden wujud syukur,negative
biaya pemilu membengkak rakyat kesulitan pantaskah,negative
presiden depe nol persen,negative
semoga membuka mata elite pdipbahwa kadernya disukai rakyat layak dimajukan pilpres,positive
gak suka gak kepanasan diteriaki presiden pendukung anies gak kegeeran segar ingatan dihormati syiaap presidennya yg presiden,neutral
hati bnyk kadrun menyamar jd relawan dgn tujuan adu domba ketum pdip mega dgn presiden ganjar sprti krn andil pdip jd biarkan mengalir sprt air kemanapun bpk melangkah hny dgn adu domba wan toa bin kibul mencapai tujuannya,negative
gubernurnya mengabaikan putusan pengadilan model kek gini presiden cebong babi anjing peking nyebokinya,negative
bupati klaten naiknya ganjar ganjar menyelesaikan ganjar menaikkan urutannya ya mas bupati klaten ngomongnya mas gibran mikirnya mas gibran dg presiden gubernur,neutral
terima kasih tim relawan puan bantuan sembako jaringnya membantu hasil tangkapan semoga puan pilpres bhaskara salah warga menerima bantuan relawan puan puan harapan rakyat,positive
anies prabowo harap salah satunya menang pilpres kalo bersatu,positive
ayooo sosok ayah presiden cocok menggantikan pa jokowi milenial jabodetabek bersmaa mengabdi negeri,positive
satunya calon presiden yg menjaga nkri dgn budaya keyakinan agama kemajemukan suku yg benteng warisan seni budaya leluhur,positive
dipilih x seriuskah murni pure pilihan rakyat perasaan byk berita medsos bgmn kumpulkan suara dg tdk elegan amp tdk scr kesatria tutup mata looo dg berita perhitungan suara hsl pemilu rakyat tdk bodoh tdk daya,negative
bukti rakyat enga setuju pemilu ditunda krn survei litbang kompas pemilu digelar parpol yg dipilih yg memilih yg memilih menunjukan rakyat pemilu digelar thn ditunda,neutral
keterikatan dgn cendana dah lahhh mending kyk pdip yg elektabilitas partai gak ketum partai nyalon kader yg muda berintegritas syarat usia capres berlaku,neutral
bnr bhinekatunggal ika capresnya orang jawa yg jd presiden suku rasis negeri,negative
semoga pilpres politik identitas mengancam persatuan bangsa,positive
semoga aja terkabul doa himpunan santri nusantara ganjar pranowo maju pilpres presiden ri,positive
semoga anies maju pilpres,positive
kalender kampanye satuan partai mumpung nya mangga,neutral
loe kali yg stres loe pikir anies udh resmi capres tong mikir loe koalisi blom,negative
pilihan lihat kontestasi ya semoga amanat menang jagoin orang ga presiden gita wirjawan,positive
dasar mental garong gak bayar royalty black pink hak cipta org disikat presiden wtf,negative
sandiaga uno with ganjar auto win as double combo,positive
semoga ganjar presiden ganjar penyelamat pribumi cengkeraman dataran china jajirah arabpak prabowo anis,positive
anak buah memperburuk citra teruskan mencalonkan jd capres gk pendukung gk pilih,negative
introspeksi brarti calon mu si disukai mayoritas penduduk indonesia nyaprespaham,negative
tanda tanda pilpres bener ga bro,neutral
restorasi indonesia capres berintegritas penuh prestasi,positive
butuh umat islam pencalonan presiden menghianatinyamana pembelaan umat islam tokoh islam diobok obok dihina diadu domba,negative
hebat mesin buzzer nya organisasi parpol berbasis agama menekan kontennya om ragil bertema ragil sih nyenggol salah pageant daerah pengungsi timteng politik oh politik,negative
blunder lo rasain kursi capres,negative
prediksi pilpres diikuti capres prabowo subianto gerindrapkb anies baswedan nasdempksperindohanura ganjar pranowo pdippsi ridwan kamil golkarpanppp,neutral
urus rakyat wadas aja sampe kaya perang gimana kalo presiden perang dunia,negative
presidennya kalo sistem hukumnya msh spt skrg tdk berubah lbh faktanya indonesia sdh berganti bbrp kali pemimpin bukantaqwa tuh taqwa kpd hukum allah hukum buatan manusia,neutral
salah anies baswedan minyak goreng langka diatasi pemilu ditunda dananya beli migor murah rakyat ahiw,negative
semoga beliau merancang menelisik menganalisa mengkalkulasi ahli mengeksekusi kebijakan bangsa berkontestasi dlm pilpres,positive
alhamdulillah relawan anies baswedan senang dukungan dr saudi arabia unt maju pilpres kabulkan yaa mujib basailiin niatan semoga lg salah memilih pemimpin,positive
negara pandemi corona cari orderan eh lupa pemilu bentar ya,negative
salah pilih pilpres,neutral
kasian gua liat lu drun udh banggain ehh yg dukung partai tanda nya drun yg lu pamerin gk berguna karna kelebihan bayar jd gubernur aja kelebihan bayar gimana jd presiden idihh amit dah jd bahan korup berjamaah lg,negative
diharapkan tdk sprti yg pilpres pilkada capres yg main politik identitas tdk layak dipilih,neutral
kanan urusan politik ah nyapreskah apesbakalan capres abadi sebabkrn pelihara dukun gembul eehhada pawang kutu berjanggut stress kejedot umbul ciaaann dech keknya yg bernasib,negative
mandat politik mega puan persiaapan pilpres semoga kedepannya memimpin dg puan pemimpin berpengalaman,positive
emang kinerjanya menteri bumn dgn gebrakan yg keren gak salah beliau masuk daftar capres berpasangan dgn mr white keren tuh,positive
l dukung ketum berat lho pemilu calon yg kompeten,negative
mengkritik bebas tp debat pendukung pemilu rakyat ga gunanya membela yg duduk ngopi bareng semangat mencari keluarga,positive
semoga memilih berkontribusi negeri pilpres,positive
andaikan presiden utang indonesia sisa kasih tau trik indonesia kedepan maju sejahterah,neutral
pejabat pejabat pelaksana gubernur walikotabupati yg kementerian negeri kalangan manakah diambil non partai,neutral
gini nyalon presiden jateng periode aja ga tuntas pemimpin sadar,negative
urus wadas aja ngga becus capres,negative
waduuhgitu yaa ketergantungan yg didukung jokowi peluang menang pilpres wollahu alam nisshowaf tggu tgl mainnya aja gk diaik i kerso berjuangsiapa yg kerja keras yg dimuka al aamiin,neutral
menjelang pilpres isu alasan menjatuhkan lawan politik,neutral
balas jasa kali ya diloloskan peserta pemilu,negative
semoga ganjar presiden teman teman rakyat yg sgt senang semangat nggeh,positive
